6-Deoxy-D-glucopyranose	http://glyconavi.org/GST/MS62
2-Acetamido-2,6-dideoxy-D-glucopyranose	http://glyconavi.org/GST/MS63
6-Deoxy-L-mannopyranose	http://glyconavi.org/GST/MS64
2-Acetamido-2,6-dideoxy-L-mannopyranose	http://glyconavi.org/GST/MS65
D-Ribopyranose	http://glyconavi.org/GST/MS66
Sialic acid residue of unspecified type	http://glyconavi.org/GST/MS67
L-xylo-Hex-2-ulopyranose	http://glyconavi.org/GST/MS68
D-lyxo-Hex-2-ulopyranose	http://glyconavi.org/GST/MS69
D-Talopyranose	http://glyconavi.org/GST/MS70
D-Talopyranuronic acid	http://glyconavi.org/GST/MS71
2-Amino-2-deoxy-D-talopyranose	http://glyconavi.org/GST/MS72
2-Acetamido-2-deoxy-D-talopyranose	http://glyconavi.org/GST/MS73
3,6-Dideoxy-D-arabino-hexopyranose	http://glyconavi.org/GST/MS74
D-Xylopyranose	http://glyconavi.org/GST/MS75
